Potion Number,Ranking,Artist,Artist Rarity,Element,Element Rarity,Finish,Finish Rarity,Color,Color Rarity,Shape,Shape Rarity,Taste,Taste Rarity,Matter,Matter Rarity,Potency,Potency Rarity,Temperature,Temperature Rarity,Superpower,Superpower Rarity
2599,355,,,Flora,4.67%,Rocky,0.33%,Green & Brown,0.33%,Original,10.00%,Sweet,30.00%,Condensate,10.00%,Moderate,50.00%,Ambient,41.00%,Pride,15.00%
835,356,,,Metal,7.33%,Hot Blued Steel,0.33%,Lapis,0.33%,Beacon,10.00%,Sweet,30.00%,Solid,30.00%,Moderate,50.00%,Steamy,30.00%,Artistry,5.00%
2047,357,,,Ceramic,7.67%,Artistic,0.33%,Blood Orange & Mustard,0.33%,Drillbit,10.00%,Bitter,18.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Love,5.00%
1200,358,,,Metal,7.33%,Hot Blued Steel,0.33%,Lapis,0.33%,Spool,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Toasty,22.00%,Wisdom,5.00%
1565,359,,,Marble,10.33%,Ziarat White,0.33%,Snow,0.33%,Original,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Gratitude,4.00%
2220,360,,,Terrain,4.00%,Fine Road,0.33%,Light Gray,0.33%,Spool,10.00%,Salty,30.00%,Solid,30.00%,Mild,40.00%,Ambient,41.00%,Elegance,12.00%
974,361,,,Terrain,4.00%,Fine Road,0.33%,Light Gray,0.33%,Original,10.00%,Sweet,30.00%,Solid,30.00%,Mild,40.00%,Ambient,41.00%,Elegance,12.00%
1156,362,,,Concrete,9.00%,Metal Edge,0.33%,Natural,0.33%,Blimp,10.00%,Sweet,30.00%,Solid,30.00%,Mild,40.00%,Toasty,22.00%,Patience,5.00%
1750,363,,,Paint,4.33%,Abstract,0.33%,Deep Green,0.33%,Blimp,10.00%,Bitter,18.00%,Solid,30.00%,Mild,40.00%,Steamy,30.00%,Kindness,15.00%
1050,364,,,Wood,7.67%,Mahogany,0.33%,Caramels,0.33%,Classic,10.00%,Bitter,18.00%,Solid,30.00%,Mild,40.00%,Steamy,30.00%,Charm,6.00%
440,365,,,Terrain,4.00%,Fine Road,0.33%,Light Gray,0.33%,Blimp,10.00%,Salty,30.00%,Solid,30.00%,Mild,40.00%,Steamy,30.00%,Kindness,15.00%
1537,366,,,Plaster,5.67%,Worn,0.33%,Sand,0.33%,Carrot,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Charm,6.00%
1977,367,,,Ceramic,7.67%,Artistic,0.33%,Blood Orange & Mustard,0.33%,Original,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Courtesy,5.00%
2585,368,,,Concrete,9.00%,Stained,0.33%,Dirt,0.33%,Spool,10.00%,Sour,21.00%,Liquid,50.00%,Mild,40.00%,Steamy,30.00%,Love,5.00%
2655,369,,,Marble,10.33%,Octagon Mosaic,0.33%,Scotch Mist,0.33%,Drillbit,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Boling,5.00%,Kindness,15.00%
1889,370,,,Paint,4.33%,Abstract,0.33%,Deep Green,0.33%,Spool,10.00%,Salty,30.00%,Solid,30.00%,Mild,40.00%,Toasty,22.00%,Pride,15.00%
482,371,,,Metal,7.33%,Sand Blasted,0.33%,Aluminum,0.33%,Beacon,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Patience,5.00%
2624,372,,,Marble,10.33%,Verde Guatemala,0.33%,Emerald Green,0.33%,Carrot,10.00%,Sweet,30.00%,Solid,30.00%,Mild,40.00%,Toasty,22.00%,Wisdom,5.00%
1785,373,,,Concrete,9.00%,Metal Edge,0.33%,Natural,0.33%,Spool,10.00%,Bitter,18.00%,Plasma,8.00%,Mild,40.00%,Toasty,22.00%,Pride,15.00%
1158,374,,,Terrain,4.00%,Old Road,0.33%,Warm White,0.33%,Edamame,10.00%,Sour,21.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Pride,15.00%
682,375,,,Terrain,4.00%,Old Road,0.33%,Warm White,0.33%,Spool,10.00%,Sweet,30.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Pride,15.00%
1801,376,,,Concrete,9.00%,Metal Edge,0.33%,Natural,0.33%,Edamame,10.00%,Sweet,30.00%,Solid,30.00%,Mild,40.00%,Ambient,41.00%,Courtesy,5.00%
837,377,,,Marble,10.33%,Ziarat White,0.33%,Snow,0.33%,Blimp,10.00%,Bitter,18.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Patience,5.00%
1213,378,,,Tatami,0.33%,Woven,0.33%,Tan,4.67%,Spool,10.00%,Bitter,18.00%,Solid,30.00%,Moderate,50.00%,Steamy,30.00%,Pride,15.00%
1014,379,,,Ceramic,7.67%,Zigzag,0.33%,Rose & Orange,0.33%,Blimp,10.00%,Bitter,18.00%,Condensate,10.00%,Mild,40.00%,Toasty,22.00%,Kindness,15.00%
1489,380,,,Fabric,5.00%,Knit,0.33%,Cobalt Blue,0.33%,Carrot,10.00%,Sour,21.00%,Solid,30.00%,Mild,40.00%,Steamy,30.00%,Elegance,12.00%
581,381,,,Ceramic,7.67%,Glazed,0.33%,Orange & White,0.33%,Beacon,10.00%,Salty,30.00%,Solid,30.00%,Mild,40.00%,Steamy,30.00%,Charm,6.00%
1401,382,,,Ceramic,7.67%,Glazed,0.33%,Orange & White,0.33%,Classic,10.00%,Salty,30.00%,Plasma,8.00%,Moderate,50.00%,Toasty,22.00%,Kindness,15.00%
1390,383,,,Paint,4.33%,Abstract,0.33%,Deep Green,0.33%,Beacon,10.00%,Sour,21.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Pride,15.00%
1231,384,,,Concrete,9.00%,Stained,0.33%,Dirt,0.33%,Carrot,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Love,5.00%
2370,385,,,Flora,4.67%,Rocky,0.33%,Green & Brown,0.33%,Spool,10.00%,Bitter,18.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Elegance,12.00%
1584,386,,,Flora,4.67%,Creeping Fig,0.33%,Cyprus,0.33%,Classic,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Toasty,22.00%,Elegance,12.00%
2500,387,,,Ceramic,7.67%,Zigzag,0.33%,Rose & Orange,0.33%,Edamame,10.00%,Salty,30.00%,Solid,30.00%,Severe,9.00%,Ambient,41.00%,Elegance,12.00%
521,388,,,Marble,10.33%,Oceanic,0.33%,Champagne,0.33%,Wormhole,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Toasty,22.00%,Patience,5.00%
1650,389,,,Flora,4.67%,Creeping Juniper,0.33%,Cyprus Green,0.33%,Classic,10.00%,Bitter,18.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Kindness,15.00%
1083,390,,,Ceramic,7.67%,Glazed,0.33%,Orange & White,0.33%,Spool,10.00%,Sour,21.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Charm,6.00%
2554,391,,,Ceramic,7.67%,Tiny Tiles,0.33%,Ocean,0.33%,Wormhole,10.00%,Sweet,30.00%,Plasma,8.00%,Mild,40.00%,Steamy,30.00%,Pride,15.00%
2883,392,,,Fabric,5.00%,Knit,0.33%,Cobalt Blue,0.33%,Blimp,10.00%,Bitter,18.00%,Liquid,50.00%,Mild,40.00%,Toasty,22.00%,Pride,15.00%
1414,393,,,Paint,4.33%,Abstract,0.33%,Deep Green,0.33%,Edamame,10.00%,Sour,21.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Kindness,15.00%
2808,394,,,Ceramic,7.67%,Zigzag,0.33%,Rose & Orange,0.33%,Classic,10.00%,Sour,21.00%,Liquid,50.00%,Severe,9.00%,Steamy,30.00%,Pride,15.00%
2140,395,,,Ceramic,7.67%,Zigzag,0.33%,Rose & Orange,0.33%,Carrot,10.00%,Salty,30.00%,Plasma,8.00%,Moderate,50.00%,Steamy,30.00%,Kindness,15.00%
439,396,,,Wood,7.67%,Mahogany,0.33%,Caramels,0.33%,Drillbit,10.00%,Salty,30.00%,Solid,30.00%,Severe,9.00%,Steamy,30.00%,Pride,15.00%
2967,397,,,Marble,10.33%,Octagon Mosaic,0.33%,Scotch Mist,0.33%,Blimp,10.00%,Salty,30.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Artistry,5.00%
1044,398,,,Ceramic,7.67%,Zigzag,0.33%,Rose & Orange,0.33%,Beacon,10.00%,Sour,21.00%,Condensate,10.00%,Moderate,50.00%,Ambient,41.00%,Elegance,12.00%
2870,399,,,Marble,10.33%,Octagon Mosaic,0.33%,Scotch Mist,0.33%,Edamame,10.00%,Bitter,18.00%,Plasma,8.00%,Moderate,50.00%,Ambient,41.00%,Elegance,12.00%
2076,400,,,Tatami,0.33%,Woven,0.33%,Tan,4.67%,Drillbit,10.00%,Sweet,30.00%,Liquid,50.00%,Mild,40.00%,Toasty,22.00%,Kindness,15.00%
10,401,,,Flora,4.67%,Creeping Juniper,0.33%,Cyprus Green,0.33%,Drillbit,10.00%,Salty,30.00%,Liquid,50.00%,Mild,40.00%,Toasty,22.00%,Pride,15.00%
2705,402,,,Marble,10.33%,Oceanic,0.33%,Champagne,0.33%,Carrot,10.00%,Sweet,30.00%,Plasma,8.00%,Moderate,50.00%,Toasty,22.00%,Elegance,12.00%
2807,403,,,Marble,10.33%,Oceanic,0.33%,Champagne,0.33%,Drillbit,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Artistry,5.00%
949,404,,,Concrete,9.00%,Stained,0.33%,Dirt,0.33%,Original,10.00%,Sour,21.00%,Solid,30.00%,Severe,9.00%,Steamy,30.00%,Pride,15.00%
1726,405,,,Flora,4.67%,Pine Foliage,0.33%,Vibrant Green,0.33%,Carrot,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Toasty,22.00%,Pride,15.00%
1755,406,,,Marble,10.33%,Craftmans Square,0.33%,Crepe,0.33%,Blimp,10.00%,Sweet,30.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Courtesy,5.00%
1699,407,,,Marble,10.33%,Craftmans Square,0.33%,Crepe,0.33%,Drillbit,10.00%,Salty,30.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Courtesy,5.00%
246,408,,,Tatami,0.33%,Woven,0.33%,Tan,4.67%,Hourglass,10.00%,Sour,21.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Kindness,15.00%
494,409,,,Ceramic,7.67%,Bubbles,0.33%,Rose & Tan,0.33%,Carrot,10.00%,Salty,30.00%,Condensate,10.00%,Mild,40.00%,Ambient,41.00%,Elegance,12.00%
2600,410,,,Concrete,9.00%,Metal Edge,0.33%,Natural,0.33%,Carrot,10.00%,Sour,21.00%,Condensate,10.00%,Mild,40.00%,Toasty,22.00%,Pride,15.00%
514,411,,,Marble,10.33%,Octagon Mosaic,0.33%,Scotch Mist,0.33%,Spool,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Wisdom,5.00%
1059,412,,,Marble,10.33%,Ziarat White,0.33%,Snow,0.33%,Spool,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Wisdom,5.00%
1739,413,,,Marble,10.33%,Oceanic,0.33%,Champagne,0.33%,Hourglass,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Courtesy,5.00%
1081,414,,,Flora,4.67%,Creeping Fig,0.33%,Cyprus,0.33%,Spool,10.00%,Sweet,30.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Kindness,15.00%
489,415,,,Flora,4.67%,Pine Foliage,0.33%,Vibrant Green,0.33%,Edamame,10.00%,Sweet,30.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Pride,15.00%
1135,416,,,Flora,4.67%,Creeping Fig,0.33%,Cyprus,0.33%,Edamame,10.00%,Salty,30.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Kindness,15.00%
1887,417,,,Plaster,5.67%,Worn,0.33%,Sand,0.33%,Drillbit,10.00%,Sweet,30.00%,Solid,30.00%,Moderate,50.00%,Toasty,22.00%,Elegance,12.00%
616,418,,,Marble,10.33%,Verde Guatemala,0.33%,Emerald Green,0.33%,Spool,10.00%,Sour,21.00%,Plasma,8.00%,Moderate,50.00%,Steamy,30.00%,Kindness,15.00%
1508,419,,,Tatami,0.33%,Woven,0.33%,Tan,4.67%,Wormhole,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Kindness,15.00%
2557,420,,,Tatami,0.33%,Woven,0.33%,Tan,4.67%,Classic,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Kindness,15.00%
553,421,,,Fabric,5.00%,Knit,0.33%,Cobalt Blue,0.33%,Original,10.00%,Sour,21.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Pride,15.00%
983,422,,,Fabric,5.00%,Plaid,0.33%,Smoke,0.33%,Hourglass,10.00%,Sour,21.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Pride,15.00%
1254,423,,,Marble,10.33%,Oceanic,0.33%,Champagne,0.33%,Spool,10.00%,Sweet,30.00%,Liquid,50.00%,Mild,40.00%,Toasty,22.00%,Charm,6.00%
2886,424,,,Marble,10.33%,Verde Guatemala,0.33%,Emerald Green,0.33%,Classic,10.00%,Bitter,18.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Charm,6.00%
86,425,,,Fabric,5.00%,Plaid,0.33%,Smoke,0.33%,Classic,10.00%,Salty,30.00%,Solid,30.00%,Mild,40.00%,Ambient,41.00%,Kindness,15.00%
2175,426,,,Marble,10.33%,Craftmans Square,0.33%,Crepe,0.33%,Wormhole,10.00%,Sweet,30.00%,Liquid,50.00%,Severe,9.00%,Toasty,22.00%,Pride,15.00%
1648,427,,,Wood,7.67%,Burnt Japanese Wood,0.33%,Black & Tan,0.33%,Original,10.00%,Bitter,18.00%,Solid,30.00%,Mild,40.00%,Toasty,22.00%,Elegance,12.00%
332,428,,,Plaster,5.67%,Worn,0.33%,Sand,0.33%,Wormhole,10.00%,Salty,30.00%,Liquid,50.00%,Mild,40.00%,Steamy,30.00%,Elegance,12.00%
2869,429,,,Marble,10.33%,Oceanic,0.33%,Champagne,0.33%,Classic,10.00%,Salty,30.00%,Plasma,8.00%,Moderate,50.00%,Ambient,41.00%,Pride,15.00%
1547,430,,,Metal,7.33%,Sand Blasted,0.33%,Aluminum,0.33%,Carrot,10.00%,Salty,30.00%,Solid,30.00%,Mild,40.00%,Toasty,22.00%,Elegance,12.00%
1822,431,,,Marble,10.33%,Octagon Mosaic,0.33%,Scotch Mist,0.33%,Carrot,10.00%,Sweet,30.00%,Condensate,10.00%,Mild,40.00%,Steamy,30.00%,Pride,15.00%
2984,432,,,Wood,7.67%,Burnt Japanese Wood,0.33%,Black & Tan,0.33%,Drillbit,10.00%,Sweet,30.00%,Solid,30.00%,Mild,40.00%,Toasty,22.00%,Elegance,12.00%
450,433,,,Pop Art,0.67%,Inu,0.33%,Mustard,1.33%,Blimp,10.00%,Bitter,18.00%,Liquid,50.00%,Mild,40.00%,Chilled,2.00%,Loyalty,2.00%
1369,434,,,Marble,10.33%,Craftmans Square,0.33%,Crepe,0.33%,Classic,10.00%,Sweet,30.00%,Condensate,10.00%,Mild,40.00%,Ambient,41.00%,Pride,15.00%
2536,435,,,Metal,7.33%,Sand Blasted,0.33%,Aluminum,0.33%,Classic,10.00%,Bitter,18.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Elegance,12.00%
426,436,,,Metal,7.33%,Sand Blasted,0.33%,Aluminum,0.33%,Blimp,10.00%,Sweet,30.00%,Liquid,50.00%,Mild,40.00%,Toasty,22.00%,Elegance,12.00%
1475,437,,,Ceramic,7.67%,Bubbles,0.33%,Rose & Tan,0.33%,Beacon,10.00%,Sour,21.00%,Solid,30.00%,Mild,40.00%,Steamy,30.00%,Pride,15.00%
856,438,,,Metal,7.33%,Sand Blasted,0.33%,Aluminum,0.33%,Original,10.00%,Salty,30.00%,Solid,30.00%,Mild,40.00%,Ambient,41.00%,Elegance,12.00%
1760,439,,,Ceramic,7.67%,Artistic,0.33%,Blood Orange & Mustard,0.33%,Wormhole,10.00%,Salty,30.00%,Solid,30.00%,Mild,40.00%,Toasty,22.00%,Pride,15.00%
1455,440,,,Straw,0.33%,Mosaic,2.00%,Gold,0.67%,Classic,10.00%,Salty,30.00%,Condensate,10.00%,Toxic,1.00%,Steamy,30.00%,Charm,6.00%
1835,441,,,Ceramic,7.67%,Glazed,0.33%,Orange & White,0.33%,Original,10.00%,Bitter,18.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Kindness,15.00%
2110,442,,,Ceramic,7.67%,Glazed,0.33%,Orange & White,0.33%,Hourglass,10.00%,Bitter,18.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Kindness,15.00%
24,443,,,Ceramic,7.67%,Tiny Tiles,0.33%,Ocean,0.33%,Blimp,10.00%,Salty,30.00%,Solid,30.00%,Mild,40.00%,Ambient,41.00%,Elegance,12.00%
1840,444,,,Metal,7.33%,Hot Blued Steel,0.33%,Lapis,0.33%,Classic,10.00%,Sour,21.00%,Liquid,50.00%,Mild,40.00%,Steamy,30.00%,Pride,15.00%
453,445,,,Metal,7.33%,Sand Blasted,0.33%,Aluminum,0.33%,Edamame,10.00%,Bitter,18.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Kindness,15.00%
1088,446,,,Metal,7.33%,Hot Blued Steel,0.33%,Lapis,0.33%,Drillbit,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Elegance,12.00%
734,447,,,Ceramic,7.67%,Bubbles,0.33%,Rose & Tan,0.33%,Spool,10.00%,Bitter,18.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Pride,15.00%
2053,448,,,Metal,7.33%,Sand Blasted,0.33%,Aluminum,0.33%,Wormhole,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Toasty,22.00%,Kindness,15.00%
595,449,,,Ceramic,7.67%,Artistic,0.33%,Blood Orange & Mustard,0.33%,Spool,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Elegance,12.00%
434,450,,,Wood,7.67%,Burnt Japanese Wood,0.33%,Black & Tan,0.33%,Blimp,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Elegance,12.00%
478,451,,,Metal,7.33%,Sand Blasted,0.33%,Aluminum,0.33%,Hourglass,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Elegance,12.00%
1463,452,,,Wood,7.67%,Burnt Japanese Wood,0.33%,Black & Tan,0.33%,Beacon,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Toasty,22.00%,Kindness,15.00%
2017,453,,,Marble,10.33%,Ziarat White,0.33%,Snow,0.33%,Drillbit,10.00%,Salty,30.00%,Solid,30.00%,Moderate,50.00%,Toasty,22.00%,Elegance,12.00%
335,454,,,Ceramic,7.67%,Glazed,0.33%,Orange & White,0.33%,Carrot,10.00%,Salty,30.00%,Liquid,50.00%,Mild,40.00%,Steamy,30.00%,Kindness,15.00%
1204,455,,,Ceramic,7.67%,Bubbles,0.33%,Rose & Tan,0.33%,Classic,10.00%,Sweet,30.00%,Liquid,50.00%,Mild,40.00%,Steamy,30.00%,Pride,15.00%
568,456,,,Ceramic,7.67%,Zigzag,0.33%,Rose & Orange,0.33%,Drillbit,10.00%,Sweet,30.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Pride,15.00%
584,457,,,Ceramic,7.67%,Bubbles,0.33%,Rose & Tan,0.33%,Hourglass,10.00%,Sweet,30.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Kindness,15.00%
381,458,,,Wood,7.67%,Burnt Japanese Wood,0.33%,Black & Tan,0.33%,Hourglass,10.00%,Salty,30.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Kindness,15.00%
176,459,,,Marble,10.33%,Ziarat White,0.33%,Snow,0.33%,Classic,10.00%,Bitter,18.00%,Solid,30.00%,Moderate,50.00%,Steamy,30.00%,Kindness,15.00%
193,460,,,Concrete,9.00%,Metal Edge,0.33%,Natural,0.33%,Classic,10.00%,Salty,30.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Elegance,12.00%
732,461,,,Marble,10.33%,Ziarat White,0.33%,Snow,0.33%,Beacon,10.00%,Bitter,18.00%,Liquid,50.00%,Moderate,50.00%,Toasty,22.00%,Kindness,15.00%
1557,462,,,Wood,7.67%,Mahogany,0.33%,Caramels,0.33%,Edamame,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Pride,15.00%
596,463,,,Wood,7.67%,Mahogany,0.33%,Caramels,0.33%,Hourglass,10.00%,Salty,30.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Pride,15.00%
816,464,,,Ceramic,7.67%,Tiny Tiles,0.33%,Ocean,0.33%,Hourglass,10.00%,Salty,30.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Kindness,15.00%
935,465,,,Concrete,9.00%,Vintage Tiles,0.33%,Bordeaux,0.33%,Carrot,10.00%,Sweet,30.00%,Solid,30.00%,Moderate,50.00%,Steamy,30.00%,Pride,15.00%
2856,466,,,Marble,10.33%,Craftmans Square,0.33%,Crepe,0.33%,Beacon,10.00%,Bitter,18.00%,Liquid,50.00%,Mild,40.00%,Steamy,30.00%,Pride,15.00%
1779,467,,,Marble,10.33%,Craftmans Square,0.33%,Crepe,0.33%,Hourglass,10.00%,Salty,30.00%,Solid,30.00%,Moderate,50.00%,Toasty,22.00%,Kindness,15.00%
2108,468,,,Ceramic,7.67%,Tiny Tiles,0.33%,Ocean,0.33%,Edamame,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Kindness,15.00%
788,469,,,Wood,7.67%,Burnt Japanese Wood,0.33%,Black & Tan,0.33%,Classic,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Kindness,15.00%
1572,470,,,Wood,7.67%,Burnt Japanese Wood,0.33%,Black & Tan,0.33%,Carrot,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Pride,15.00%
2374,471,,,Ceramic,7.67%,Zigzag,0.33%,Rose & Orange,0.33%,Wormhole,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Pride,15.00%
1262,472,,,Ceramic,7.67%,Tiny Tiles,0.33%,Ocean,0.33%,Beacon,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Kindness,15.00%
263,473,,,Marble,10.33%,Oceanic,0.33%,Champagne,0.33%,Original,10.00%,Bitter,18.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Pride,15.00%
2612,474,,,Concrete,9.00%,Stained,0.33%,Dirt,0.33%,Hourglass,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Elegance,12.00%
1518,475,,,Marble,10.33%,Ziarat White,0.33%,Snow,0.33%,Hourglass,10.00%,Sweet,30.00%,Liquid,50.00%,Mild,40.00%,Steamy,30.00%,Elegance,12.00%
1010,476,,,Marble,10.33%,Octagon Mosaic,0.33%,Scotch Mist,0.33%,Wormhole,10.00%,Sweet,30.00%,Solid,30.00%,Mild,40.00%,Steamy,30.00%,Pride,15.00%
1216,477,,,Marble,10.33%,Verde Guatemala,0.33%,Emerald Green,0.33%,Drillbit,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Elegance,12.00%
2275,478,,,Marble,10.33%,Oceanic,0.33%,Champagne,0.33%,Beacon,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Elegance,12.00%
523,479,,,Marble,10.33%,Verde Guatemala,0.33%,Emerald Green,0.33%,Original,10.00%,Sour,21.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Kindness,15.00%
1422,480,,,Concrete,9.00%,Metal Edge,0.33%,Natural,0.33%,Drillbit,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Kindness,15.00%
1192,481,,,Marble,10.33%,Craftmans Square,0.33%,Crepe,0.33%,Spool,10.00%,Sour,21.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Kindness,15.00%
1524,482,,,Marble,10.33%,Oceanic,0.33%,Champagne,0.33%,Blimp,10.00%,Sweet,30.00%,Liquid,50.00%,Mild,40.00%,Ambient,41.00%,Kindness,15.00%
1258,483,,,Marble,10.33%,Craftmans Square,0.33%,Crepe,0.33%,Original,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Kindness,15.00%
20,484,,,Marble,10.33%,Ziarat White,0.33%,Snow,0.33%,Carrot,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Kindness,15.00%
954,485,,,Straw,0.33%,Mosaic,2.00%,Gold,0.67%,Wormhole,10.00%,Sour,21.00%,Solid,30.00%,Severe,9.00%,Steamy,30.00%,Forgiveness,1.00%
2855,486,,,Culinary,2.00%,Pomegranate,0.33%,Pomegranate,0.67%,Carrot,10.00%,Sweet,30.00%,Liquid,50.00%,Toxic,1.00%,Steamy,30.00%,Elegance,12.00%
2540,487,,,Pop Art,0.67%,Inu,0.33%,Mustard,1.33%,Beacon,10.00%,Salty,30.00%,Solid,30.00%,Moderate,50.00%,Chilled,2.00%,Sympathy,3.00%
1867,488,,,Precious Metals,1.00%,Aurum,0.33%,Gold,0.67%,Edamame,10.00%,Salty,30.00%,Gas,2.00%,Moderate,50.00%,Steamy,30.00%,Kindness,15.00%
1472,489,,,Rock,1.00%,Icelandic Rock,0.33%,Charcoal,0.67%,Drillbit,10.00%,Sour,21.00%,Solid,30.00%,Moderate,50.00%,Toasty,22.00%,Compassion,2.00%
2458,490,,,Precious Metals,1.00%,Aurum,0.33%,Gold,0.67%,Carrot,10.00%,Salty,30.00%,Condensate,10.00%,Moderate,50.00%,Boling,5.00%,Gratitude,4.00%
2644,491,,,Plaster,5.67%,Chipped,0.67%,Blue Green,0.33%,Hourglass,10.00%,Umami,1.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Empathy,3.00%
267,492,,,Rock,1.00%,Lava,0.33%,Midnight,1.33%,Classic,10.00%,Umami,1.00%,Solid,30.00%,Mild,40.00%,Toasty,22.00%,Artistry,5.00%
2651,493,,,Rock,1.00%,Icelandic Rock,0.33%,Charcoal,0.67%,Beacon,10.00%,Sweet,30.00%,Liquid,50.00%,Mild,40.00%,Boling,5.00%,Wisdom,5.00%
464,494,,,Precious Metals,1.00%,Aurum,0.33%,Gold,0.67%,Blimp,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Boling,5.00%,Wisdom,5.00%
466,495,,,Culinary,2.00%,Pomegranate,0.33%,Pomegranate,0.67%,Original,10.00%,Salty,30.00%,Gas,2.00%,Moderate,50.00%,Steamy,30.00%,Empathy,3.00%
967,496,,,Clay,2.00%,Pavers,0.33%,Mauve,0.67%,Original,10.00%,Salty,30.00%,Gas,2.00%,Severe,9.00%,Steamy,30.00%,Wisdom,5.00%
